meal,recipe_name,kcal
lunch,Boloňské celozrnné špagety,741
lunch,"čočka s vejncem, šunkou a pečivem",737
lunch,těstoviny zapečené s masem,731
lunch,Hovězí na houbách s rýží,730
lunch,Těstovinový salát s grilovaným kuřetem,727
lunch,krůtí stripsy a zeleninový salát,690
lunch,hovězí s fazolkami a bramborovo batátovou kaší,687
lunch,Treska na zelenině s vařenými brambory,680
I. dinner,krůtí s rajčaty a rýží,508
I. dinner,krůtí se salátem a ořechem,505
I. dinner,čočka s vejcem,504
I. dinner,senvič s ricottou a tuňákem,486
I. dinner,"talíř se šunkou, sýrem a zeleninou",480
I. dinner,celozrná tortila s tunákovou směsí,476
I. dinner,salát s lososem a ricottou,472
I. dinner,mrkvovo-šunková pomazánka,463
I. dinner,fazolový salát s olivami a tuňákem,456
I. dinner,"chléb, šunka, zelenina, cottage",429
snack,bílý jogurt + vločky,289
snack,cottage sýr se zeleninou,257
snack,vejce s chlebem a zeleninou,257
snack,"cottage, cherry, pečivo",256
snack,tvaroh s kousky čokolády a ovocem,253
snack,caprese,250
snack,čokoládový termix s ovocem,250
snack,"chléb s máslem, šunkou, mrkví",249
snack,bílý jogurt + zelenina,239
snack,paprika s jogurtem a semínky,231
II. dinner,šunkové humusové rolky,145
II. dinner,malinový koktejl s tvarohem,140
II. dinner,okurka a mrkev s jogurtem a semínky,135
II. dinner,zelenina se šunkou a jogurtem,135
II. dinner,šunka sýr rajče,126
breakfast,vejce s chlebem a zeleninou,650
breakfast,chleba s tvarohem s mandlemi a vejce,640
breakfast,porridge s ovocem,637
breakfast,chléb s e zelenivovou pomazánkou z ricotty,634
breakfast,vaječná omeleta,615
breakfast,omelea s paprikou a pečivem,610
breakfast,mandlové palačinky s tvarohem,590
breakfast,skyr s cerealiemi,575
breakfast,špaldový chléb se šunkou syrem a zeleninou,550
breakfast,pečivo s cottage a zeleninou,550